Bölge (Düzey-2),Ýl Adý,Ýlçe Adý,Ýl-Ýlçe,ilce_no
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,BOZDOGAN,AYDIN-BOZDOGAN,159
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,BUHARKENT,AYDIN-BUHARKENT,242
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,CINE,AYDIN-CINE,162
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,DIDIM,AYDIN-DIDIM,163
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,EFELER,AYDIN-EFELER,207
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,GERMENCIK,AYDIN-GERMENCIK,213
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,INCIRLIOVA,AYDIN-INCIRLIOVA,214
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,KARACASU,AYDIN-KARACASU,178
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,KARPUZLU,AYDIN-KARPUZLU,166
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,KOCARLI,AYDIN-KOCARLI,170
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,KOSK,AYDIN-KOSK,227
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,KUSADASI,AYDIN-KUSADASI,218
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,KUYUCAK,AYDIN-KUYUCAK,215
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,NAZILLI,AYDIN-NAZILLI,212
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,SOKE,AYDIN-SOKE,173
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,SULTANHISAR,AYDIN-SULTANHISAR,230
"TR32-GUNEY EGE-(AYDIN, DENIZLI, MUGLA)",AYDIN,YENIPAZAR,AYDIN-YENIPAZAR,206
